model,sample,accuracy,accuracy_pval,kappa,sensitivity,specificity,AUC
RF,top10,0.58252427184466,0.148872230327893,0.119723733571837,0.333333333333333,0.781659388646288,0.578101510487508
RF,top100,0.558252427184466,0.480968244120543,0.0706690132117096,0.316939890710383,0.751091703056769,0.591046841816403
RF,top500,0.58252427184466,0.148872230327893,0.114664800979486,0.306010928961749,0.803493449781659,0.585892571646742
RF,top1000,0.589805825242718,0.0900807639485964,0.118454370505419,0.251366120218579,0.860262008733624,0.600508268308397
RF,top2000,0.589805825242718,0.0900807639485964,0.111207556803676,0.213114754098361,0.890829694323144,0.602691674421934
NNET,top10,0.558252427184466,0.480968244120543,0.0511957484499556,0.218579234972678,0.829694323144105,0.450366287255113
NNET,top100,0.58252427184466,0.148872230327893,0.14607283156195,0.480874316939891,0.663755458515284,0.580654783210442
NNET,top500,0.560679611650485,0.441608245840839,0.123259969902182,0.579234972677596,0.54585152838428,0.568294079748013
NNET,top1000,0.543689320388349,0.707659811873301,0.0717829494523405,0.46448087431694,0.606986899563319,0.540935881833584
NNET,top2000,0.550970873786408,0.598539294886681,0.081022425850012,0.442622950819672,0.637554585152838,0.540422841052807
SVM,top10,0.577669902912621,0.199833677055362,0.0981507107812303,0.26775956284153,0.825327510917031,0.565979430644045
SVM,top100,0.563106796116505,0.40280224654338,0.103373231773667,0.442622950819672,0.65938864628821,0.592144510463646
SVM,top500,0.563106796116505,0.40280224654338,0.110300645439931,0.480874316939891,0.62882096069869,0.569952513899826
SVM,top1000,0.543689320388349,0.707659811873301,0.0758584484692295,0.486338797814208,0.589519650655022,0.587419762808123
SVM,top2000,0.572815533980582,0.260002964844326,0.127181684681865,0.475409836065574,0.650655021834061,0.599589567375379
